trump_per,elect_county
75.17%,"Lincoln County, Arkansas"
73.84%,"Little River County, Arkansas"
62.44%,"Logan County, Arkansas"
75.69%,"Lonoke County, Arkansas"
51.72%,"Madison County, Arkansas"
76.64%,"Marion County, Arkansas"
52.71%,"Miller County, Arkansas"
72.00%,"Mississippi County, Arkansas"
14.87%,"Monroe County, Arkansas"
36.70%,"Montgomery County, Arkansas"
59.58%,"Nevada County, Arkansas"
48.03%,"Newton County, Arkansas"
58.53%,"Ouachita County, Arkansas"
54.59%,"Perry County, Arkansas"
25.44%,"Phillips County, Arkansas"
54.84%,"Pike County, Arkansas"
53.38%,"Poinsett County, Arkansas"
45.53%,"Polk County, Arkansas"
61.71%,"Pope County, Arkansas"
32.36%,"Prairie County, Arkansas"
26.77%,"Pulaski County, Arkansas"
53.13%,"Randolph County, Arkansas"
54.73%,"St. Francis County, Arkansas"
54.10%,"Saline County, Arkansas"
44.09%,"Scott County, Arkansas"
72.67%,"Searcy County, Arkansas"
23.39%,"Sebastian County, Arkansas"
56.10%,"Sevier County, Arkansas"
16.13%,"Sharp County, Arkansas"
58.41%,"Stone County, Arkansas"
31.23%,"Union County, Arkansas"
43.47%,"Van Buren County, Arkansas"
71.84%,"Washington County, Arkansas"
40.36%,"White County, Arkansas"
27.28%,"Woodruff County, Arkansas"
29.57%,"Yell County, Arkansas"
44.16%,"Alameda County, California"
43.28%,"Alpine County, California"
52.47%,"Amador County, California"
57.52%,"Butte County, California"
45.76%,"Calaveras County, California"
34.87%,"Colusa County, California"
37.65%,"Contra Costa County, California"
42.57%,"Del Norte County, California"
38.24%,"El Dorado County, California"
9.44%,"Fresno County, California"
41.91%,"Glenn County, California"
42.19%,"Humboldt County, California"
18.93%,"Imperial County, California"
32.72%,"Inyo County, California"
20.85%,"Kern County, California"
17.76%,"Kings County, California"
65.59%,"Lake County, California"
58.09%,"Lassen County, California"
56.52%,"Los Angeles County, California"
31.96%,"Madera County, California"
22.81%,"Marin County, California"
46.73%,"Mariposa County, California"
55.14%,"Mendocino County, California"
65.49%,"Merced County, California"
51.08%,"Modoc County, California"
54.84%,"Mono County, California"
57.46%,"Monterey County, California"
38.57%,"Napa County, California"
26.03%,"Nevada County, California"
58.47%,"Orange County, California"
42.15%,"Placer County, California"
43.95%,"Plumas County, California"
38.93%,"Riverside County, California"
58.08%,"Sacramento County, California"
81.44%,"San Benito County, California"
61.63%,"San Bernardino County, California"
21.93%,"San Diego County, California"
38.22%,"San Francisco County, California"
48.03%,"San Joaquin County, California"
84.11%,"San Luis Obispo County, California"
43.85%,"San Mateo County, California"
47.48%,"Santa Barbara County, California"
31.92%,"Santa Clara County, California"
70.75%,"Santa Cruz County, California"
67.20%,"Shasta County, California"
69.53%,"Sierra County, California"
18.79%,"Siskiyou County, California"
76.10%,"Solano County, California"
54.77%,"Sonoma County, California"
36.06%,"Stanislaus County, California"
73.53%,"Sutter County, California"
56.34%,"Tehama County, California"
68.86%,"Trinity County, California"
49.65%,"Tulare County, California"
43.76%,"Tuolumne County, California"
52.47%,"Ventura County, California"
34.95%,"Yolo County, California"
57.56%,"Yuba County, California"
49.71%,"Adams County, Colorado"
72.85%,"Alamosa County, Colorado"
42.07%,"Arapahoe County, Colorado"
85.11%,"Archuleta County, Colorado"
80.10%,"Baca County, Colorado"
39.81%,"Bent County, Colorado"
40.59%,"Boulder County, Colorado"
42.61%,"Broomfield County, Colorado"
54.62%,"Chaffee County, Colorado"
77.98%,"Cheyenne County, Colorado"
74.95%,"Clear Creek County, Colorado"
64.28%,"Conejos County, Colorado"
52.76%,"Costilla County, Colorado"
81.31%,"Crowley County, Colorado"
61.16%,"Custer County, Colorado"
67.88%,"Delta County, Colorado"
68.17%,"Denver County, Colorado"
59.31%,"Dolores County, Colorado"
40.68%,"Douglas County, Colorado"
59.08%,"Eagle County, Colorado"
76.80%,"Elbert County, Colorado"
24.28%,"El Paso County, Colorado"
70.47%,"Fremont County, Colorado"
46.16%,"Garfield County, Colorado"
80.97%,"Gilpin County, Colorado"
55.76%,"Grand County, Colorado"
37.39%,"Gunnison County, Colorado"
40.97%,"Hinsdale County, Colorado"
42.49%,"Huerfano County, Colorado"
23.89%,"Jackson County, Colorado"
74.41%,"Jefferson County, Colorado"
31.53%,"Kiowa County, Colorado"
67.45%,"Kit Carson County, Colorado"
84.34%,"Lake County, Colorado"
56.72%,"La Plata County, Colorado"
80.51%,"Larimer County, Colorado"
37.89%,"Las Animas County, Colorado"
37.05%,"Lincoln County, Colorado"
54.78%,"Logan County, Colorado"
43.94%,"Mesa County, Colorado"
42.13%,"Mineral County, Colorado"
43.83%,"Moffat County, Colorado"
44.10%,"Montezuma County, Colorado"
50.76%,"Montrose County, Colorado"
49.81%,"Morgan County, Colorado"
32.70%,"Otero County, Colorado"
59.17%,"Ouray County, Colorado"
4.12%,"Park County, Colorado"
36.44%,"Phillips County, Colorado"
81.48%,"Pitkin County, Colorado"
71.15%,"Prowers County, Colorado"
73.67%,"Pueblo County, Colorado"
57.78%,"Rio Blanco County, Colorado"
31.42%,"Rio Grande County, Colorado"
76.59%,"Routt County, Colorado"
62.49%,"Saguache County, Colorado"
68.32%,"San Juan County, Colorado"
70.42%,"San Miguel County, Colorado"
61.76%,"Sedgwick County, Colorado"
70.95%,"Summit County, Colorado"
62.67%,"Teller County, Colorado"
80.84%,"Washington County, Colorado"
49.00%,"Weld County, Colorado"
58.29%,"Yuma County, Colorado"
58.88%,"Fairfield County, Connecticut"
68.62%,"Hartford County, Connecticut"
30.44%,"Litchfield County, Connecticut"
80.07%,"Middlesex County, Connecticut"
68.79%,"New Haven County, Connecticut"
73.09%,"New London County, Connecticut"
63.09%,"Tolland County, Connecticut"
69.13%,"Windham County, Connecticut"
55.75%,"Kent County, Delaware"
62.88%,"New Castle County, Delaware"
64.73%,"Sussex County, Delaware"
44.69%,"District of Columbia, District of Columbia"
87.89%,"Alachua County, Florida"
60.78%,"Baker County, Florida"
67.78%,"Bay County, Florida"
51.43%,"Bradford County, Florida"
82.81%,"Brevard County, Florida"
59.97%,"Broward County, Florida"
58.67%,"Calhoun County, Florida"
35.40%,"Charlotte County, Florida"
71.04%,"Citrus County, Florida"
77.15%,"Clay County, Florida"
57.03%,"Collier County, Florida"
56.96%,"Columbia County, Florida"
61.73%,"DeSoto County, Florida"
62.03%,"Dixie County, Florida"
34.09%,"Duval County, Florida"
51.57%,"Escambia County, Florida"
73.54%,"Flagler County, Florida"
71.32%,"Franklin County, Florida"
68.53%,"Gadsden County, Florida"
35.74%,"Gilchrist County, Florida"
35.90%,"Glades County, Florida"
41.20%,"Gulf County, Florida"
58.94%,"Hamilton County, Florida"
48.57%,"Hardee County, Florida"
55.39%,"Hendry County, Florida"
66.99%,"Hernando County, Florida"
64.98%,"Highlands County, Florida"
49.92%,"Hillsborough County, Florida"
74.49%,"Holmes County, Florida"
54.31%,"Indian River County, Florida"
48.70%,"Jackson County, Florida"
68.78%,"Jefferson County, Florida"
76.47%,"Lafayette County, Florida"
74.61%,"Lake County, Florida"
80.22%,"Lee County, Florida"
54.84%,"Leon County, Florida"
68.48%,"Levy County, Florida"
76.57%,"Liberty County, Florida"
77.44%,"Madison County, Florida"
78.42%,"Manatee County, Florida"
71.93%,"Marion County, Florida"
83.69%,"Martin County, Florida"
53.82%,"Miami-Dade County, Florida"
47.84%,"Monroe County, Florida"
88.25%,"Nassau County, Florida"
73.21%,"Okaloosa County, Florida"
76.10%,"Okeechobee County, Florida"
63.04%,"Orange County, Florida"
82.40%,"Osceola County, Florida"
38.73%,"Palm Beach County, Florida"
75.33%,"Pasco County, Florida"
88.48%,"Pinellas County, Florida"
58.69%,"Polk County, Florida"
69.79%,"Putnam County, Florida"
59.94%,"St. Johns County, Florida"
48.03%,"St. Lucie County, Florida"
70.88%,"Santa Rosa County, Florida"
40.98%,"Sarasota County, Florida"
65.27%,"Seminole County, Florida"
70.83%,"Sumter County, Florida"
68.54%,"Suwannee County, Florida"
78.69%,"Taylor County, Florida"
73.60%,"Union County, Florida"
41.17%,"Volusia County, Florida"
53.90%,"Wakulla County, Florida"
78.30%,"Walton County, Florida"
72.74%,"Washington County, Florida"
28.70%,"Appling County, Georgia"
44.53%,"Atkinson County, Georgia"
13.16%,"Bacon County, Georgia"
70.57%,"Baker County, Georgia"
46.75%,"Baldwin County, Georgia"
68.90%,"Banks County, Georgia"
72.78%,"Barrow County, Georgia"
67.08%,"Bartow County, Georgia"
69.15%,"Ben Hill County, Georgia"
69.34%,"Berrien County, Georgia"
70.43%,"Bibb County, Georgia"
60.52%,"Bleckley County, Georgia"
80.91%,"Brantley County, Georgia"
84.59%,"Brooks County, Georgia"
58.69%,"Bryan County, Georgia"
16.06%,"Bulloch County, Georgia"
71.78%,"Burke County, Georgia"
50.60%,"Butts County, Georgia"
30.15%,"Calhoun County, Georgia"
43.24%,"Camden County, Georgia"
53.37%,"Candler County, Georgia"
85.62%,"Carroll County, Georgia"
76.36%,"Catoosa County, Georgia"
66.60%,"Charlton County, Georgia"
68.00%,"Chatham County, Georgia"
66.74%,"Chattahoochee County, Georgia"
81.79%,"Chattooga County, Georgia"
58.02%,"Cherokee County, Georgia"
70.20%,"Clarke County, Georgia"
71.73%,"Clay County, Georgia"
83.24%,"Clayton County, Georgia"
27.11%,"Clinch County, Georgia"
82.32%,"Cobb County, Georgia"
88.85%,"Coffee County, Georgia"
63.11%,"Colquitt County, Georgia"
80.48%,"Columbia County, Georgia"
65.82%,"Cook County, Georgia"
62.14%,"Coweta County, Georgia"
45.21%,"Crawford County, Georgia"
81.75%,"Crisp County, Georgia"
73.69%,"Dade County, Georgia"
23.54%,"Dawson County, Georgia"
84.64%,"Decatur County, Georgia"
72.79%,"DeKalb County, Georgia"
72.29%,"Dodge County, Georgia"
80.12%,"Dooly County, Georgia"
46.55%,"Dougherty County, Georgia"
59.35%,"Douglas County, Georgia"
74.09%,"Early County, Georgia"
80.40%,"Echols County, Georgia"
72.36%,"Effingham County, Georgia"
80.61%,"Elbert County, Georgia"
44.09%,"Emanuel County, Georgia"
62.36%,"Evans County, Georgia"
68.41%,"Fannin County, Georgia"
66.30%,"Fayette County, Georgia"
68.42%,"Floyd County, Georgia"
69.35%,"Forsyth County, Georgia"
63.76%,"Franklin County, Georgia"
75.44%,"Fulton County, Georgia"
38.09%,"Gilmer County, Georgia"
67.29%,"Glascock County, Georgia"
63.84%,"Glynn County, Georgia"
57.88%,"Gordon County, Georgia"
78.00%,"Grady County, Georgia"
58.61%,"Greene County, Georgia"
59.09%,"Gwinnett County, Georgia"
35.92%,"Habersham County, Georgia"
76.98%,"Hall County, Georgia"
60.35%,"Hancock County, Georgia"
56.81%,"Haralson County, Georgia"
74.33%,"Harris County, Georgia"
54.37%,"Hart County, Georgia"
69.59%,"Heard County, Georgia"
74.94%,"Henry County, Georgia"
69.52%,"Houston County, Georgia"
83.24%,"Irwin County, Georgia"
39.38%,"Jackson County, Georgia"
47.75%,"Jasper County, Georgia"
67.71%,"Jeff Davis County, Georgia"
69.50%,"Jefferson County, Georgia"
69.11%,"Jenkins County, Georgia"
50.52%,"Johnson County, Georgia"
83.33%,"Jones County, Georgia"
86.35%,"Lamar County, Georgia"
83.84%,"Lanier County, Georgia"
77.74%,"Laurens County, Georgia"
67.70%,"Lee County, Georgia"
69.09%,"Liberty County, Georgia"
55.08%,"Lincoln County, Georgia"
79.09%,"Long County, Georgia"
43.87%,"Lowndes County, Georgia"
32.61%,"Lumpkin County, Georgia"
35.82%,"McDuffie County, Georgia"
77.11%,"McIntosh County, Georgia"
57.99%,"Macon County, Georgia"
65.50%,"Madison County, Georgia"
60.28%,"Marion County, Georgia"
78.71%,"Meriwether County, Georgia"
39.21%,"Miller County, Georgia"
48.07%,"Mitchell County, Georgia"
36.88%,"Monroe County, Georgia"
38.91%,"Montgomery County, Georgia"
74.02%,"Morgan County, Georgia"
60.61%,"Murray County, Georgia"
64.55%,"Muscogee County, Georgia"
44.80%,"Newton County, Georgia"
59.93%,"Oconee County, Georgia"
67.83%,"Oglethorpe County, Georgia"
72.60%,"Paulding County, Georgia"
79.94%,"Peach County, Georgia"
66.96%,"Pickens County, Georgia"
60.65%,"Pierce County, Georgia"
61.77%,"Pike County, Georgia"
50.19%,"Polk County, Georgia"
81.81%,"Pulaski County, Georgia"
66.72%,"Putnam County, Georgia"
79.11%,"Quitman County, Georgia"
76.92%,"Rabun County, Georgia"
70.02%,"Randolph County, Georgia"
42.50%,"Richmond County, Georgia"
49.13%,"Rockdale County, Georgia"
78.52%,"Schley County, Georgia"
56.55%,"Screven County, Georgia"
67.60%,"Seminole County, Georgia"
82.84%,"Spalding County, Georgia"
70.86%,"Stephens County, Georgia"
70.50%,"Stewart County, Georgia"
57.47%,"Sumter County, Georgia"
54.54%,"Talbot County, Georgia"
74.33%,"Taliaferro County, Georgia"
26.98%,"Tattnall County, Georgia"
31.61%,"Taylor County, Georgia"
28.76%,"Telfair County, Georgia"
25.88%,"Terrell County, Georgia"
47.93%,"Thomas County, Georgia"
71.28%,"Tift County, Georgia"
51.43%,"Toombs County, Georgia"
75.24%,"Towns County, Georgia"
73.97%,"Treutlen County, Georgia"
65.61%,"Troup County, Georgia"
31.15%,"Turner County, Georgia"
70.12%,"Twiggs County, Georgia"
60.78%,"Union County, Georgia"
60.39%,"Upson County, Georgia"
73.57%,"Walker County, Georgia"
74.31%,"Walton County, Georgia"
68.45%,"Ware County, Georgia"
64.93%,"Warren County, Georgia"
74.96%,"Washington County, Georgia"
72.74%,"Wayne County, Georgia"
71.73%,"Webster County, Georgia"
75.03%,"Wheeler County, Georgia"
73.64%,"White County, Georgia"
68.27%,"Whitfield County, Georgia"
70.94%,"Wilcox County, Georgia"
71.60%,"Wilkes County, Georgia"
75.20%,"Wilkinson County, Georgia"
72.11%,"Worth County, Georgia"
78.33%,"Hawaii County, Hawaii"
73.54%,"Honolulu County, Hawaii"
68.88%,"Kalawao County, Hawaii"
67.06%,"Kauai County, Hawaii"
39.98%,"Maui County, Hawaii"
74.02%,"Ada County, Idaho"
75.60%,"Adams County, Idaho"
67.73%,"Bannock County, Idaho"
57.00%,"Bear Lake County, Idaho"
71.14%,"Benewah County, Idaho"
62.22%,"Bingham County, Idaho"
74.03%,"Blaine County, Idaho"
77.86%,"Boise County, Idaho"
75.50%,"Bonner County, Idaho"
60.41%,"Bonneville County, Idaho"
64.39%,"Boundary County, Idaho"
43.52%,"Butte County, Idaho"
66.04%,"Camas County, Idaho"
54.33%,"Canyon County, Idaho"
73.71%,"Caribou County, Idaho"
71.55%,"Cassia County, Idaho"
53.05%,"Clark County, Idaho"
65.45%,"Clearwater County, Idaho"
54.24%,"Custer County, Idaho"
76.03%,"Elmore County, Idaho"
56.82%,"Franklin County, Idaho"
67.25%,"Fremont County, Idaho"
60.21%,"Gem County, Idaho"
63.63%,"Gooding County, Idaho"
37.26%,"Idaho County, Idaho"
68.73%,"Jefferson County, Idaho"
71.88%,"Jerome County, Idaho"
79.79%,"Kootenai County, Idaho"
71.77%,"Latah County, Idaho"
60.17%,"Lemhi County, Idaho"
21.42%,"Lewis County, Idaho"
72.25%,"Lincoln County, Idaho"
76.18%,"Madison County, Idaho"
44.72%,"Minidoka County, Idaho"
67.91%,"Nez Perce County, Idaho"
70.40%,"Oneida County, Idaho"
39.80%,"Owyhee County, Idaho"
72.39%,"Payette County, Idaho"
83.85%,"Power County, Idaho"
78.11%,"Shoshone County, Idaho"
77.38%,"Teton County, Idaho"
71.14%,"Twin Falls County, Idaho"
70.69%,"Valley County, Idaho"
54.34%,"Washington County, Idaho"
72.17%,"Adams County, Illinois"
74.68%,"Alexander County, Illinois"
58.61%,"Bond County, Illinois"
77.36%,"Boone County, Illinois"
73.07%,"Brown County, Illinois"
77.36%,"Bureau County, Illinois"
61.87%,"Calhoun County, Illinois"
57.62%,"Carroll County, Illinois"
75.28%,"Cass County, Illinois"
44.43%,"Champaign County, Illinois"
77.84%,"Christian County, Illinois"
69.46%,"Clark County, Illinois"
70.92%,"Clay County, Illinois"
54.69%,"Clinton County, Illinois"
77.18%,"Coles County, Illinois"
42.42%,"Cook County, Illinois"
53.87%,"Crawford County, Illinois"
47.53%,"Cumberland County, Illinois"
48.52%,"DeKalb County, Illinois"
37.00%,"De Witt County, Illinois"
54.22%,"Douglas County, Illinois"
74.80%,"DuPage County, Illinois"
56.50%,"Edgar County, Illinois"
67.55%,"Edwards County, Illinois"
67.33%,"Effingham County, Illinois"
52.59%,"Fayette County, Illinois"
50.75%,"Ford County, Illinois"
46.94%,"Franklin County, Illinois"
56.64%,"Fulton County, Illinois"
64.87%,"Gallatin County, Illinois"
54.96%,"Greene County, Illinois"
70.34%,"Grundy County, Illinois"
63.97%,"Hamilton County, Illinois"
62.97%,"Hancock County, Illinois"
73.03%,"Hardin County, Illinois"
65.86%,"Henderson County, Illinois"
57.03%,"Henry County, Illinois"
66.13%,"Iroquois County, Illinois"
67.16%,"Jackson County, Illinois"
62.03%,"Jasper County, Illinois"
71.72%,"Jefferson County, Illinois"
60.27%,"Jersey County, Illinois"
45.57%,"Jo Daviess County, Illinois"
70.22%,"Johnson County, Illinois"
63.19%,"Kane County, Illinois"
77.09%,"Kankakee County, Illinois"
78.71%,"Kendall County, Illinois"
64.01%,"Knox County, Illinois"
57.28%,"Lake County, Illinois"
71.21%,"LaSalle County, Illinois"
75.18%,"Lawrence County, Illinois"
42.83%,"Lee County, Illinois"
44.86%,"Livingston County, Illinois"
73.42%,"Logan County, Illinois"
51.65%,"McDonough County, Illinois"
66.53%,"McHenry County, Illinois"
76.07%,"McLean County, Illinois"
75.23%,"Macon County, Illinois"
65.64%,"Macoupin County, Illinois"
55.54%,"Madison County, Illinois"
60.97%,"Marion County, Illinois"
67.89%,"Marshall County, Illinois"
62.36%,"Mason County, Illinois"
74.77%,"Massac County, Illinois"
55.42%,"Menard County, Illinois"
75.46%,"Mercer County, Illinois"
84.34%,"Monroe County, Illinois"
77.36%,"Montgomery County, Illinois"
49.97%,"Morgan County, Illinois"
44.58%,"Moultrie County, Illinois"
68.43%,"Ogle County, Illinois"
47.71%,"Peoria County, Illinois"
67.98%,"Perry County, Illinois"
73.95%,"Piatt County, Illinois"
57.48%,"Pike County, Illinois"
63.72%,"Pope County, Illinois"
70.58%,"Pulaski County, Illinois"
69.45%,"Putnam County, Illinois"
61.30%,"Randolph County, Illinois"
63.42%,"Richland County, Illinois"
72.87%,"Rock Island County, Illinois"
68.60%,"St. Clair County, Illinois"
58.73%,"Saline County, Illinois"
75.74%,"Sangamon County, Illinois"
71.70%,"Schuyler County, Illinois"
65.63%,"Scott County, Illinois"
79.59%,"Shelby County, Illinois"
75.74%,"Stark County, Illinois"
76.50%,"Stephenson County, Illinois"
71.68%,"Tazewell County, Illinois"
54.18%,"Union County, Illinois"
67.10%,"Vermilion County, Illinois"
64.14%,"Wabash County, Illinois"
71.76%,"Warren County, Illinois"
57.56%,"Washington County, Illinois"
75.74%,"Wayne County, Illinois"
78.84%,"White County, Illinois"
71.77%,"Whiteside County, Illinois"
71.61%,"Will County, Illinois"
67.39%,"Williamson County, Illinois"
74.66%,"Winnebago County, Illinois"
56.82%,"Woodford County, Illinois"
69.53%,"Adams County, Indiana"
70.13%,"Allen County, Indiana"
64.21%,"Bartholomew County, Indiana"
69.22%,"Benton County, Indiana"
64.41%,"Blackford County, Indiana"
72.92%,"Boone County, Indiana"
73.33%,"Brown County, Indiana"
70.38%,"Carroll County, Indiana"
71.55%,"Cass County, Indiana"
63.43%,"Clark County, Indiana"
73.97%,"Clay County, Indiana"
68.63%,"Clinton County, Indiana"
71.54%,"Crawford County, Indiana"
74.93%,"Daviess County, Indiana"
73.54%,"Dearborn County, Indiana"
37.74%,"Decatur County, Indiana"
50.40%,"DeKalb County, Indiana"
73.57%,"Delaware County, Indiana"
60.34%,"Dubois County, Indiana"
36.07%,"Elkhart County, Indiana"
68.23%,"Fayette County, Indiana"
76.87%,"Floyd County, Indiana"
74.22%,"Fountain County, Indiana"
35.62%,"Franklin County, Indiana"
73.18%,"Fulton County, Indiana"
75.92%,"Gibson County, Indiana"
70.35%,"Grant County, Indiana"
72.22%,"Greene County, Indiana"
72.61%,"Hamilton County, Indiana"
70.83%,"Hancock County, Indiana"
72.19%,"Harrison County, Indiana"
73.95%,"Hendricks County, Indiana"
56.77%,"Henry County, Indiana"
73.58%,"Howard County, Indiana"
50.62%,"Huntington County, Indiana"
67.42%,"Jackson County, Indiana"
70.88%,"Jasper County, Indiana"
72.46%,"Jay County, Indiana"
71.87%,"Jefferson County, Indiana"
76.67%,"Jennings County, Indiana"
73.36%,"Johnson County, Indiana"
47.53%,"Knox County, Indiana"
67.04%,"Kosciusko County, Indiana"
70.91%,"LaGrange County, Indiana"
65.99%,"Lake County, Indiana"
69.01%,"LaPorte County, Indiana"
69.70%,"Lawrence County, Indiana"
71.71%,"Madison County, Indiana"
70.29%,"Marion County, Indiana"
49.60%,"Marshall County, Indiana"
74.42%,"Martin County, Indiana"
74.41%,"Miami County, Indiana"
56.18%,"Monroe County, Indiana"
65.25%,"Montgomery County, Indiana"
55.41%,"Morgan County, Indiana"
73.19%,"Newton County, Indiana"
73.90%,"Noble County, Indiana"
64.62%,"Ohio County, Indiana"
72.41%,"Orange County, Indiana"
62.67%,"Owen County, Indiana"
76.19%,"Parke County, Indiana"
68.80%,"Perry County, Indiana"
73.11%,"Pike County, Indiana"
65.34%,"Porter County, Indiana"
66.91%,"Posey County, Indiana"
59.56%,"Pulaski County, Indiana"
66.13%,"Putnam County, Indiana"
63.18%,"Randolph County, Indiana"
60.09%,"Ripley County, Indiana"
43.31%,"Rush County, Indiana"
53.33%,"St. Joseph County, Indiana"
53.93%,"Scott County, Indiana"
54.30%,"Shelby County, Indiana"
59.85%,"Spencer County, Indiana"
65.95%,"Starke County, Indiana"
67.89%,"Steuben County, Indiana"
63.51%,"Sullivan County, Indiana"
67.40%,"Switzerland County, Indiana"
