labor_force,employed,unemployed,unemp_rate,bls_county
"9,961","9,412",549,5.5,"Del Norte County, California"
"91,589","88,319","3,270",3.6,"El Dorado County, California"
"448,353","414,926","33,427",7.5,"Fresno County, California"
"12,779","11,944",835,6.5,"Glenn County, California"
"63,027","60,782","2,245",3.6,"Humboldt County, California"
"71,055","58,200","12,855",18.1,"Imperial County, California"
"8,725","8,388",337,3.9,"Inyo County, California"
"386,997","356,132","30,865",8,"Kern County, California"
"57,865","53,384","4,481",7.7,"Kings County, California"
"29,116","27,594","1,522",5.2,"Lake County, California"
"9,899","9,425",474,4.8,"Lassen County, California"
"5,136,341","4,896,512","239,829",4.7,"Los Angeles County, California"
"61,528","57,212","4,316",7,"Madera County, California"
"141,111","137,748","3,363",2.4,"Marin County, California"
"7,663","7,257",406,5.3,"Mariposa County, California"
"39,715","38,151","1,564",3.9,"Mendocino County, California"
"115,408","105,834","9,574",8.3,"Merced County, California"
"3,179","2,939",240,7.5,"Modoc County, California"
"8,524","8,196",328,3.8,"Mono County, California"
"224,057","210,010","14,047",6.3,"Monterey County, California"
"74,547","72,366","2,181",2.9,"Napa County, California"
"48,870","47,176","1,694",3.5,"Nevada County, California"
"1,625,426","1,577,885","47,541",2.9,"Orange County, California"
"185,213","179,376","5,837",3.2,"Placer County, California"
"7,848","7,260",588,7.5,"Plumas County, California"
"1,092,371","1,044,563","47,808",4.4,"Riverside County, California"
"710,442","683,494","26,948",3.8,"Sacramento County, California"
"30,869","29,308","1,561",5.1,"San Benito County, California"
"961,030","922,251","38,779",4,"San Bernardino County, California"
"1,592,193","1,539,530","52,663",3.3,"San Diego County, California"
"575,567","562,022","13,545",2.4,"San Francisco County, California"
"326,387","306,816","19,571",6,"San Joaquin County, California"
"140,920","136,769","4,151",2.9,"San Luis Obispo County, California"
"454,875","444,868","10,007",2.2,"San Mateo County, California"
"216,698","208,261","8,437",3.9,"Santa Barbara County, California"
"1,048,804","1,021,522","27,282",2.6,"Santa Clara County, California"
"142,618","135,634","6,984",4.9,"Santa Cruz County, California"
"74,215","70,546","3,669",4.9,"Shasta County, California"
"1,278","1,201",77,6,"Sierra County, California"
"17,410","16,244","1,166",6.7,"Siskiyou County, California"
"209,721","201,553","8,168",3.9,"Solano County, California"
"262,348","255,161","7,187",2.7,"Sonoma County, California"
"243,538","227,940","15,598",6.4,"Stanislaus County, California"
"45,477","42,085","3,392",7.5,"Sutter County, California"
"25,626","24,176","1,450",5.7,"Tehama County, California"
"4,707","4,439",268,5.7,"Trinity County, California"
"204,589","184,940","19,649",9.6,"Tulare County, California"
"21,339","20,357",982,4.6,"Tuolumne County, California"
"425,728","409,662","16,066",3.8,"Ventura County, California"
"108,518","103,956","4,562",4.2,"Yolo County, California"
"29,078","27,215","1,863",6.4,"Yuba County, California"
"269,911","260,542","9,369",3.5,"Adams County, Colorado"
"8,447","8,095",352,4.2,"Alamosa County, Colorado"
"362,692","351,003","11,689",3.2,"Arapahoe County, Colorado"
"6,928","6,692",236,3.4,"Archuleta County, Colorado"
"2,229","2,188",41,1.8,"Baca County, Colorado"
"2,017","1,953",64,3.2,"Bent County, Colorado"
"193,822","188,303","5,519",2.8,"Boulder County, Colorado"
"39,816","38,651","1,165",2.9,"Broomfield County, Colorado"
"9,708","9,447",261,2.7,"Chaffee County, Colorado"
"1,166","1,145",21,1.8,"Cheyenne County, Colorado"
"6,075","5,891",184,3,"Clear Creek County, Colorado"
"4,080","3,901",179,4.4,"Conejos County, Colorado"
"1,910","1,828",82,4.3,"Costilla County, Colorado"
"1,533","1,466",67,4.4,"Crowley County, Colorado"
"2,106","2,029",77,3.7,"Custer County, Colorado"
"14,851","14,266",585,3.9,"Delta County, Colorado"
"412,817","399,671","13,146",3.2,"Denver County, Colorado"
"1,197","1,163",34,2.8,"Dolores County, Colorado"
"191,240","185,768","5,472",2.9,"Douglas County, Colorado"
"36,207","35,218",989,2.7,"Eagle County, Colorado"
"14,963","14,538",425,2.8,"Elbert County, Colorado"
"337,084","323,816","13,268",3.9,"El Paso County, Colorado"
"15,342","14,544",798,5.2,"Fremont County, Colorado"
"32,479","31,436","1,043",3.2,"Garfield County, Colorado"
"3,731","3,636",95,2.5,"Gilpin County, Colorado"
"9,917","9,651",266,2.7,"Grand County, Colorado"
"11,012","10,727",285,2.6,"Gunnison County, Colorado"
459,447,12,2.6,"Hinsdale County, Colorado"
"2,619","2,448",171,6.5,"Huerfano County, Colorado"
"1,029","1,002",27,2.6,"Jackson County, Colorado"
"334,242","324,124","10,118",3,"Jefferson County, Colorado"
963,946,17,1.8,"Kiowa County, Colorado"
"4,487","4,396",91,2,"Kit Carson County, Colorado"
"4,894","4,765",129,2.6,"Lake County, Colorado"
"32,091","31,120",971,3,"La Plata County, Colorado"
"202,449","196,754","5,695",2.8,"Larimer County, Colorado"
"6,572","6,261",311,4.7,"Las Animas County, Colorado"
"2,494","2,433",61,2.4,"Lincoln County, Colorado"
"11,287","10,958",329,2.9,"Logan County, Colorado"
"76,060","72,949","3,111",4.1,"Mesa County, Colorado"
507,494,13,2.6,"Mineral County, Colorado"
"7,579","7,302",277,3.7,"Moffat County, Colorado"
"13,338","12,706",632,4.7,"Montezuma County, Colorado"
"21,941","21,136",805,3.7,"Montrose County, Colorado"
"16,473","15,990",483,2.9,"Morgan County, Colorado"
"8,635","8,205",430,5,"Otero County, Colorado"
"2,400","2,316",84,3.5,"Ouray County, Colorado"
"10,859","10,545",314,2.9,"Park County, Colorado"
"2,693","2,642",51,1.9,"Phillips County, Colorado"
"11,363","10,926",437,3.8,"Pitkin County, Colorado"
"6,387","6,175",212,3.3,"Prowers County, Colorado"
"75,912","72,186","3,726",4.9,"Pueblo County, Colorado"
"2,854","2,727",127,4.4,"Rio Blanco County, Colorado"
"5,643","5,370",273,4.8,"Rio Grande County, Colorado"
"16,301","15,861",440,2.7,"Routt County, Colorado"
"3,638","3,469",169,4.6,"Saguache County, Colorado"
519,503,16,3.1,"San Juan County, Colorado"
"5,520","5,326",194,3.5,"San Miguel County, Colorado"
"1,253","1,221",32,2.6,"Sedgwick County, Colorado"
"22,315","21,819",496,2.2,"Summit County, Colorado"
"12,651","12,182",469,3.7,"Teller County, Colorado"
"3,225","3,147",78,2.4,"Washington County, Colorado"
"165,290","160,320","4,970",3,"Weld County, Colorado"
"6,142","6,017",125,2,"Yuma County, Colorado"
"480,767","461,750","19,017",4,"Fairfield County, Connecticut"
"480,319","459,939","20,380",4.2,"Hartford County, Connecticut"
"105,014","101,000","4,014",3.8,"Litchfield County, Connecticut"
"93,078","89,811","3,267",3.5,"Middlesex County, Connecticut"
"458,747","438,576","20,171",4.4,"New Haven County, Connecticut"
"137,463","132,032","5,431",4,"New London County, Connecticut"
"86,499","83,402","3,097",3.6,"Tolland County, Connecticut"
"63,426","60,560","2,866",4.5,"Windham County, Connecticut"
"78,124","74,885","3,239",4.1,"Kent County, Delaware"
"298,915","287,977","10,938",3.7,"New Castle County, Delaware"
"105,426","101,475","3,951",3.7,"Sussex County, Delaware"
"404,610","382,140","22,470",5.6,"District of Columbia, District of Columbia"
"137,339","132,846","4,493",3.3,"Alachua County, Florida"
"11,869","11,467",402,3.4,"Baker County, Florida"
"89,251","85,703","3,548",4,"Bay County, Florida"
"11,304","10,933",371,3.3,"Bradford County, Florida"
"276,558","266,812","9,746",3.5,"Brevard County, Florida"
"1,036,212","1,001,293","34,919",3.4,"Broward County, Florida"
"5,082","4,873",209,4.1,"Calhoun County, Florida"
"70,953","68,108","2,845",4,"Charlotte County, Florida"
"47,799","45,314","2,485",5.2,"Citrus County, Florida"
"106,276","102,789","3,487",3.3,"Clay County, Florida"
"177,351","171,255","6,096",3.4,"Collier County, Florida"
"29,540","28,434","1,106",3.7,"Columbia County, Florida"
"13,955","13,419",536,3.8,"DeSoto County, Florida"
"5,773","5,529",244,4.2,"Dixie County, Florida"
"487,844","470,411","17,433",3.6,"Duval County, Florida"
"145,298","140,151","5,147",3.5,"Escambia County, Florida"
"47,077","45,173","1,904",4,"Flagler County, Florida"
"4,840","4,673",167,3.5,"Franklin County, Florida"
"18,500","17,654",846,4.6,"Gadsden County, Florida"
"6,869","6,611",258,3.8,"Gilchrist County, Florida"
"5,206","4,998",208,4,"Glades County, Florida"
"6,122","5,852",270,4.4,"Gulf County, Florida"
"4,296","4,114",182,4.2,"Hamilton County, Florida"
"8,789","8,322",467,5.3,"Hardee County, Florida"
"15,599","14,652",947,6.1,"Hendry County, Florida"
"70,465","67,280","3,185",4.5,"Hernando County, Florida"
"36,472","34,716","1,756",4.8,"Highlands County, Florida"
"735,690","710,804","24,886",3.4,"Hillsborough County, Florida"
"6,983","6,706",277,4,"Holmes County, Florida"
"65,104","62,318","2,786",4.3,"Indian River County, Florida"
"17,542","16,846",696,4,"Jackson County, Florida"
"5,582","5,373",209,3.7,"Jefferson County, Florida"
"2,847","2,756",91,3.2,"Lafayette County, Florida"
"155,273","149,818","5,455",3.5,"Lake County, Florida"
"342,684","331,050","11,634",3.4,"Lee County, Florida"
"154,655","149,478","5,177",3.3,"Leon County, Florida"
"16,926","16,277",649,3.8,"Levy County, Florida"
"2,643","2,543",100,3.8,"Liberty County, Florida"
"7,348","7,062",286,3.9,"Madison County, Florida"
"177,777","171,752","6,025",3.4,"Manatee County, Florida"
"135,746","129,921","5,825",4.3,"Marion County, Florida"
"74,159","71,563","2,596",3.5,"Martin County, Florida"
"1,383,302","1,330,023","53,279",3.9,"Miami-Dade County, Florida"
"45,307","44,120","1,187",2.6,"Monroe County, Florida"
"39,910","38,629","1,281",3.2,"Nassau County, Florida"
"96,270","93,435","2,835",2.9,"Okaloosa County, Florida"
"17,697","17,037",660,3.7,"Okeechobee County, Florida"
"750,160","726,303","23,857",3.2,"Orange County, Florida"
"177,919","171,463","6,456",3.6,"Osceola County, Florida"
"731,004","704,955","26,049",3.6,"Palm Beach County, Florida"
"231,983","223,077","8,906",3.8,"Pasco County, Florida"
"492,704","476,541","16,163",3.3,"Pinellas County, Florida"
"298,759","286,603","12,156",4.1,"Polk County, Florida"
"27,097","25,794","1,303",4.8,"Putnam County, Florida"
"127,595","123,928","3,667",2.9,"St. Johns County, Florida"
"142,635","136,390","6,245",4.4,"St. Lucie County, Florida"
"80,654","77,976","2,678",3.3,"Santa Rosa County, Florida"
"188,038","181,707","6,331",3.4,"Sarasota County, Florida"
"254,438","246,363","8,075",3.2,"Seminole County, Florida"
"31,241","29,649","1,592",5.1,"Sumter County, Florida"
"18,286","17,608",678,3.7,"Suwannee County, Florida"
"8,735","8,399",336,3.8,"Taylor County, Florida"
"4,670","4,511",159,3.4,"Union County, Florida"
"253,439","243,967","9,472",3.7,"Volusia County, Florida"
"14,767","14,307",460,3.1,"Wakulla County, Florida"
"30,644","29,698",946,3.1,"Walton County, Florida"
"9,920","9,541",379,3.8,"Washington County, Florida"
"9,044","8,651",393,4.3,"Appling County, Georgia"
"4,358","4,204",154,3.5,"Atkinson County, Georgia"
"5,057","4,864",193,3.8,"Bacon County, Georgia"
"1,217","1,155",62,5.1,"Baker County, Georgia"
"17,286","16,415",871,5,"Baldwin County, Georgia"
"9,538","9,241",297,3.1,"Banks County, Georgia"
"39,665","38,362","1,303",3.3,"Barrow County, Georgia"
"50,113","48,219","1,894",3.8,"Bartow County, Georgia"
"5,508","5,184",324,5.9,"Ben Hill County, Georgia"
"7,477","7,166",311,4.2,"Berrien County, Georgia"
"69,212","66,083","3,129",4.5,"Bibb County, Georgia"
"4,660","4,394",266,5.7,"Bleckley County, Georgia"
"7,351","7,022",329,4.5,"Brantley County, Georgia"
"7,044","6,767",277,3.9,"Brooks County, Georgia"
"17,868","17,260",608,3.4,"Bryan County, Georgia"
"37,503","35,935","1,568",4.2,"Bulloch County, Georgia"
"9,367","8,805",562,6,"Burke County, Georgia"
"10,744","10,310",434,4,"Butts County, Georgia"
"2,256","2,160",96,4.3,"Calhoun County, Georgia"
"20,982","20,110",872,4.2,"Camden County, Georgia"
"5,358","5,174",184,3.4,"Candler County, Georgia"
"55,383","53,163","2,220",4,"Carroll County, Georgia"
"33,156","32,022","1,134",3.4,"Catoosa County, Georgia"
"4,805","4,599",206,4.3,"Charlton County, Georgia"
"140,971","135,719","5,252",3.7,"Chatham County, Georgia"
"1,988","1,877",111,5.6,"Chattahoochee County, Georgia"
"10,487","10,058",429,4.1,"Chattooga County, Georgia"
"132,799","128,664","4,135",3.1,"Cherokee County, Georgia"
"61,475","59,045","2,430",4,"Clarke County, Georgia"
858,792,66,7.7,"Clay County, Georgia"
"136,502","129,814","6,688",4.9,"Clayton County, Georgia"
"2,766","2,640",126,4.6,"Clinch County, Georgia"
"426,279","411,814","14,465",3.4,"Cobb County, Georgia"
"18,709","17,864",845,4.5,"Coffee County, Georgia"
"21,551","20,740",811,3.8,"Colquitt County, Georgia"
"74,950","72,341","2,609",3.5,"Columbia County, Georgia"
"7,886","7,588",298,3.8,"Cook County, Georgia"
"73,505","70,987","2,518",3.4,"Coweta County, Georgia"
"5,703","5,466",237,4.2,"Crawford County, Georgia"
"9,399","8,943",456,4.9,"Crisp County, Georgia"
"8,274","7,974",300,3.6,"Dade County, Georgia"
"12,040","11,639",401,3.3,"Dawson County, Georgia"
"11,551","11,012",539,4.7,"Decatur County, Georgia"
"399,846","383,773","16,073",4,"DeKalb County, Georgia"
"7,176","6,804",372,5.2,"Dodge County, Georgia"
"5,157","4,919",238,4.6,"Dooly County, Georgia"
"38,361","36,395","1,966",5.1,"Dougherty County, Georgia"
"72,900","69,898","3,002",4.1,"Douglas County, Georgia"
"4,560","4,351",209,4.6,"Early County, Georgia"
"1,900","1,839",61,3.2,"Echols County, Georgia"
"29,925","28,936",989,3.3,"Effingham County, Georgia"
"7,843","7,465",378,4.8,"Elbert County, Georgia"
"8,324","7,834",490,5.9,"Emanuel County, Georgia"
"4,915","4,735",180,3.7,"Evans County, Georgia"
"11,207","10,765",442,3.9,"Fannin County, Georgia"
"57,768","55,758","2,010",3.5,"Fayette County, Georgia"
"44,274","42,368","1,906",4.3,"Floyd County, Georgia"
"118,048","114,331","3,717",3.1,"Forsyth County, Georgia"
"9,993","9,610",383,3.8,"Franklin County, Georgia"
"555,127","532,817","22,310",4,"Fulton County, Georgia"
"11,992","11,485",507,4.2,"Gilmer County, Georgia"
"1,295","1,241",54,4.2,"Glascock County, Georgia"
"40,225","38,749","1,476",3.7,"Glynn County, Georgia"
"27,993","26,940","1,053",3.8,"Gordon County, Georgia"
"10,684","10,271",413,3.9,"Grady County, Georgia"
"6,994","6,697",297,4.2,"Greene County, Georgia"
"487,986","470,913","17,073",3.5,"Gwinnett County, Georgia"
"19,385","18,670",715,3.7,"Habersham County, Georgia"
"102,169","98,934","3,235",3.2,"Hall County, Georgia"
"2,479","2,330",149,6,"Hancock County, Georgia"
"12,508","12,026",482,3.9,"Haralson County, Georgia"
"16,736","16,165",571,3.4,"Harris County, Georgia"
"11,681","11,258",423,3.6,"Hart County, Georgia"
"5,208","5,006",202,3.9,"Heard County, Georgia"
"113,843","109,127","4,716",4.1,"Henry County, Georgia"
"70,197","67,394","2,803",4,"Houston County, Georgia"
"3,340","3,153",187,5.6,"Irwin County, Georgia"
"36,248","35,165","1,083",3,"Jackson County, Georgia"
"6,926","6,686",240,3.5,"Jasper County, Georgia"
"6,077","5,781",296,4.9,"Jeff Davis County, Georgia"
"6,747","6,388",359,5.3,"Jefferson County, Georgia"
"3,206","3,033",173,5.4,"Jenkins County, Georgia"
"4,147","3,983",164,4,"Johnson County, Georgia"
"13,886","13,378",508,3.7,"Jones County, Georgia"
"8,118","7,748",370,4.6,"Lamar County, Georgia"
"3,845","3,676",169,4.4,"Lanier County, Georgia"
"19,524","18,585",939,4.8,"Laurens County, Georgia"
"14,885","14,355",530,3.6,"Lee County, Georgia"
"25,706","24,597","1,109",4.3,"Liberty County, Georgia"
"3,611","3,432",179,5,"Lincoln County, Georgia"
"8,028","7,710",318,4,"Long County, Georgia"
"51,746","49,640","2,106",4.1,"Lowndes County, Georgia"
"16,714","16,114",600,3.6,"Lumpkin County, Georgia"
"8,973","8,474",499,5.6,"McDuffie County, Georgia"
"6,190","5,943",247,4,"McIntosh County, Georgia"
"4,731","4,436",295,6.2,"Macon County, Georgia"
"13,689","13,206",483,3.5,"Madison County, Georgia"
"3,435","3,261",174,5.1,"Marion County, Georgia"
"8,947","8,500",447,5,"Meriwether County, Georgia"
"2,813","2,709",104,3.7,"Miller County, Georgia"
