,GEOID,NAME,variable,total_land,rural_land,urban_land,percent_rural,percent_urban,ruralscore,urbanscore
127,8045,"Garfield County, Colorado",total_land,23309,5929,17380,0.2543652666,0.7456347334,25.4,74.6
128,8047,"Gilpin County, Colorado",total_land,3560,3560,0,1,0,100,0
129,8069,"Larimer County, Colorado",total_land,132722,20176,112546,0.1520169979,0.8479830021,15.2,84.8
130,8051,"Gunnison County, Colorado",total_land,11412,8438,2974,0.7393971258,0.2606028742,73.9,26.1
131,8053,"Hinsdale County, Colorado",total_land,1388,1388,0,1,0,100,0
132,8055,"Huerfano County, Colorado",total_land,5075,3398,1677,0.6695566502,0.3304433498,67,33
133,8057,"Jackson County, Colorado",total_land,1286,1286,0,1,0,100,0
134,8059,"Jefferson County, Colorado",total_land,229967,17079,212888,0.07426717746,0.9257328225,7.4,92.6
135,8061,"Kiowa County, Colorado",total_land,805,805,0,1,0,100,0
136,8063,"Kit Carson County, Colorado",total_land,3527,2047,1480,0.5803799263,0.4196200737,58,42
137,8065,"Lake County, Colorado",total_land,4271,1522,2749,0.3563568251,0.6436431749,35.6,64.4
138,8071,"Las Animas County, Colorado",total_land,8217,3810,4407,0.4636728733,0.5363271267,46.4,53.6
139,8067,"La Plata County, Colorado",total_land,25860,16422,9438,0.6350348028,0.3649651972,63.5,36.5
140,8087,"Morgan County, Colorado",total_land,11490,4039,7451,0.3515230635,0.6484769365,35.2,64.8
141,8073,"Lincoln County, Colorado",total_land,2420,2420,0,1,0,100,0
142,8075,"Logan County, Colorado",total_land,8981,3018,5963,0.3360427569,0.6639572431,33.6,66.4
143,8077,"Mesa County, Colorado",total_land,62644,8256,54388,0.1317923504,0.8682076496,13.2,86.8
144,8079,"Mineral County, Colorado",total_land,1201,1201,0,1,0,100,0
145,8081,"Moffat County, Colorado",total_land,6196,1924,4272,0.310522918,0.689477082,31.1,68.9
146,8083,"Montezuma County, Colorado",total_land,12094,8313,3781,0.6873656359,0.3126343641,68.7,31.3
147,8085,"Montrose County, Colorado",total_land,18250,8249,10001,0.452,0.548,45.2,54.8
148,8099,"Prowers County, Colorado",total_land,5942,2295,3647,0.3862335914,0.6137664086,38.6,61.4
149,8089,"Otero County, Colorado",total_land,8969,3065,5904,0.3417326346,0.6582673654,34.2,65.8
150,8091,"Ouray County, Colorado",total_land,3083,3083,0,1,0,100,0
151,8093,"Park County, Colorado",total_land,13947,13947,0,1,0,100,0
152,8095,"Phillips County, Colorado",total_land,2087,2087,0,1,0,100,0
153,8097,"Pitkin County, Colorado",total_land,12953,5664,7289,0.4372732186,0.5627267814,43.7,56.3
154,8111,"San Juan County, Colorado",total_land,756,756,0,1,0,100,0
155,8107,"Routt County, Colorado",total_land,16303,7075,9228,0.4339692081,0.5660307919,43.4,56.6
156,8109,"Saguache County, Colorado",total_land,3843,3843,0,1,0,100,0
157,8101,"Pueblo County, Colorado",total_land,69526,9988,59538,0.1436584875,0.8563415125,14.4,85.6
158,8103,"Rio Blanco County, Colorado",total_land,3309,3309,0,1,0,100,0
159,8105,"Rio Grande County, Colorado",total_land,6630,4656,1974,0.7022624434,0.2977375566,70.2,29.8
160,9001,"Fairfield County, Connecticut",total_land,361221,16540,344681,0.04578914293,0.9542108571,4.6,95.4
161,8113,"San Miguel County, Colorado",total_land,6638,6638,0,1,0,100,0
162,8115,"Sedgwick County, Colorado",total_land,1415,1415,0,1,0,100,0
163,8117,"Summit County, Colorado",total_land,29842,7779,22063,0.2606728772,0.7393271228,26.1,73.9
164,8119,"Teller County, Colorado",total_land,12643,8785,3858,0.6948509056,0.3051490944,69.5,30.5
165,8121,"Washington County, Colorado",total_land,2434,2434,0,1,0,100,0
166,8123,"Weld County, Colorado",total_land,96281,20498,75783,0.2128976641,0.7871023359,21.3,78.7
167,8125,"Yuma County, Colorado",total_land,4466,2974,1492,0.6659202866,0.3340797134,66.6,33.4
168,9005,"Litchfield County, Connecticut",total_land,87550,38554,48996,0.4403655054,0.5596344946,44,56
169,9003,"Hartford County, Connecticut",total_land,374249,18621,355628,0.04975564397,0.950244356,5,95
170,9007,"Middlesex County, Connecticut",total_land,74837,16886,57951,0.2256370512,0.7743629488,22.6,77.4
171,9015,"Windham County, Connecticut",total_land,49073,24519,24554,0.4996433884,0.5003566116,50,50
172,10001,"Kent County, Delaware",total_land,65338,17768,47570,0.2719397594,0.7280602406,27.2,72.8
173,9009,"New Haven County, Connecticut",total_land,362004,12036,349968,0.0332482514,0.9667517486,3.3,96.7
174,9011,"New London County, Connecticut",total_land,120994,29240,91754,0.2416648759,0.7583351241,24.2,75.8
175,9013,"Tolland County, Connecticut",total_land,57963,22954,35009,0.3960112486,0.6039887514,39.6,60.4
176,10005,"Sussex County, Delaware",total_land,123036,39479,83557,0.3208735655,0.6791264345,32.1,67.9
177,11001,"District of Columbia, District of Columbia",total_land,296719,0,296719,0,1,0,100
178,10003,"New Castle County, Delaware",total_land,217511,9527,207984,0.04380008367,0.9561999163,4.4,95.6
179,12009,"Brevard County, Florida",total_land,269864,13404,256460,0.04966946314,0.9503305369,5,95
180,12015,"Charlotte County, Florida",total_land,100632,8922,91710,0.08865967088,0.9113403291,8.9,91.1
181,12001,"Alachua County, Florida",total_land,112766,23646,89120,0.2096908643,0.7903091357,21,79
182,12005,"Bay County, Florida",total_land,99650,11557,88093,0.1159759157,0.8840240843,11.6,88.4
183,12007,"Bradford County, Florida",total_land,11011,7869,3142,0.7146489874,0.2853510126,71.5,28.5
184,12011,"Broward County, Florida",total_land,810388,145,810243,0.0001789266376,0.9998210734,0,100
185,12027,"DeSoto County, Florida",total_land,14590,6225,8365,0.4266620973,0.5733379027,42.7,57.3
186,12003,"Baker County, Florida",total_land,9687,5714,3973,0.5898627026,0.4101372974,59,41
187,12013,"Calhoun County, Florida",total_land,5999,4650,1349,0.7751291882,0.2248708118,77.5,22.5
188,12017,"Citrus County, Florida",total_land,78026,27300,50726,0.3498833722,0.6501166278,35,65
189,12019,"Clay County, Florida",total_land,75478,12248,63230,0.1622724503,0.8377275497,16.2,83.8
190,12021,"Collier County, Florida",total_land,197298,14214,183084,0.07204330505,0.9279566949,7.2,92.8
191,12029,"Dixie County, Florida",total_land,9319,8171,1148,0.8768108166,0.1231891834,87.7,12.3
192,12023,"Columbia County, Florida",total_land,28636,18563,10073,0.6482399777,0.3517600223,64.8,35.2
193,12041,"Gilchrist County, Florida",total_land,7307,6580,727,0.9005063638,0.09949363624,90.1,9.9
194,12031,"Duval County, Florida",total_land,388486,9884,378602,0.02544235828,0.9745576417,2.5,97.5
195,12033,"Escambia County, Florida",total_land,136703,13579,123124,0.09933212878,0.9006678712,9.9,90.1
196,12035,"Flagler County, Florida",total_land,48595,5120,43475,0.1053606338,0.8946393662,10.5,89.5
197,12037,"Franklin County, Florida",total_land,8652,6557,2095,0.7578594545,0.2421405455,75.8,24.2
198,12039,"Gadsden County, Florida",total_land,19506,13353,6153,0.6845585974,0.3154414026,68.5,31.5
199,12057,"Hillsborough County, Florida",total_land,536092,17066,519026,0.03183408818,0.9681659118,3.2,96.8
200,12043,"Glades County, Florida",total_land,6979,5619,1360,0.8051296747,0.1948703253,80.5,19.5
201,12045,"Gulf County, Florida",total_land,9110,7258,1852,0.7967069155,0.2032930845,79.7,20.3
202,12047,"Hamilton County, Florida",total_land,5778,4558,1220,0.7888542748,0.2111457252,78.9,21.1
203,12049,"Hardee County, Florida",total_land,9722,4779,4943,0.4915655215,0.5084344785,49.2,50.8
204,12051,"Hendry County, Florida",total_land,14564,5605,8959,0.3848530623,0.6151469377,38.5,61.5
205,12053,"Hernando County, Florida",total_land,84504,17094,67410,0.2022862823,0.7977137177,20.2,79.8
206,12055,"Highlands County, Florida",total_land,55386,12186,43200,0.2200194995,0.7799805005,22,78
207,12069,"Lake County, Florida",total_land,144996,26229,118767,0.1808946454,0.8191053546,18.1,81.9
208,12065,"Jefferson County, Florida",total_land,6632,6632,0,1,0,100,0
209,12067,"Lafayette County, Florida",total_land,3328,3328,0,1,0,100,0
210,12059,"Holmes County, Florida",total_land,8641,7373,1268,0.8532577248,0.1467422752,85.3,14.7
211,12061,"Indian River County, Florida",total_land,76346,3202,73144,0.04194063867,0.9580593613,4.2,95.8
212,12063,"Jackson County, Florida",total_land,21003,17066,3937,0.812550588,0.187449412,81.3,18.7
213,12085,"Martin County, Florida",total_land,78131,5224,72907,0.06686206499,0.933137935,6.7,93.3
214,12071,"Lee County, Florida",total_land,371099,24101,346998,0.06494493383,0.9350550662,6.5,93.5
215,12073,"Leon County, Florida",total_land,124136,14558,109578,0.117274602,0.882725398,11.7,88.3
216,12075,"Levy County, Florida",total_land,20123,18784,1339,0.9334592258,0.06654077424,93.3,6.7
217,12077,"Liberty County, Florida",total_land,3357,3357,0,1,0,100,0
218,12079,"Madison County, Florida",total_land,8481,6730,1751,0.7935384978,0.2064615022,79.4,20.6
219,12081,"Manatee County, Florida",total_land,172690,6894,165796,0.03992124616,0.9600787538,4,96
220,12083,"Marion County, Florida",total_land,164050,50102,113948,0.3054068881,0.6945931119,30.5,69.5
221,12101,"Pasco County, Florida",total_land,228928,19425,209503,0.08485200587,0.9151479941,8.5,91.5
222,12086,"Miami-Dade County, Florida",total_land,989435,3537,985898,0.003574767418,0.9964252326,0.4,99.6
223,12087,"Monroe County, Florida",total_land,52764,6246,46518,0.1183761656,0.8816238344,11.8,88.2
224,12089,"Nassau County, Florida",total_land,35009,14790,20219,0.4224627953,0.5775372047,42.2,57.8
225,12097,"Osceola County, Florida",total_land,128170,19238,108932,0.1500975267,0.8499024733,15,85
226,12099,"Palm Beach County, Florida",total_land,664594,6044,658550,0.009094274098,0.9909057259,0.9,99.1
227,12091,"Okaloosa County, Florida",total_land,92407,9312,83095,0.1007715866,0.8992284134,10.1,89.9
228,12093,"Okeechobee County, Florida",total_land,18509,6655,11854,0.3595548112,0.6404451888,36,64
229,12095,"Orange County, Florida",total_land,487839,9494,478345,0.01946133868,0.9805386613,1.9,98.1
230,12117,"Seminole County, Florida",total_land,181307,5175,176132,0.02854274794,0.9714572521,2.9,97.1
231,12103,"Pinellas County, Florida",total_land,503634,1273,502361,0.002527629191,0.9974723708,0.3,99.7
232,12105,"Polk County, Florida",total_land,281214,40166,241048,0.1428307268,0.8571692732,14.3,85.7
233,12107,"Putnam County, Florida",total_land,37337,21958,15379,0.5881029542,0.4118970458,58.8,41.2
234,12109,"St. Johns County, Florida",total_land,89830,20278,69552,0.2257375042,0.7742624958,22.6,77.4
235,12111,"St. Lucie County, Florida",total_land,137029,4883,132146,0.03563479264,0.9643652074,3.6,96.4
236,12113,"Santa Rosa County, Florida",total_land,64760,13831,50929,0.2135731933,0.7864268067,21.4,78.6
237,12115,"Sarasota County, Florida",total_land,228413,8197,220216,0.035886749,0.964113251,3.6,96.4
238,12129,"Wakulla County, Florida",total_land,12804,9361,3443,0.7310996564,0.2689003436,73.1,26.9
239,12119,"Sumter County, Florida",total_land,53026,12276,40750,0.231509071,0.768490929,23.2,76.8
240,12121,"Suwannee County, Florida",total_land,19164,16222,2942,0.8464829889,0.1535170111,84.6,15.4
241,2020,"Anchorage Municipality, Alaska",total_land,113032,5499,107533,0.04864993984,0.9513500602,4.9,95.1
242,2050,"Bethel Census Area, Alaska",total_land,5919,4176,1743,0.7055245819,0.2944754181,70.6,29.4
243,2150,"Kodiak Island Borough, Alaska",total_land,5303,1945,3358,0.3667735244,0.6332264756,36.7,63.3
244,2100,"Haines Borough, Alaska",total_land,1631,1631,0,1,0,100,0
245,2105,"Hoonah-Angoon Census Area, Alaska",total_land,1771,1771,0,1,0,100,0
246,2110,"Juneau City and Borough, Alaska",total_land,13055,2722,10333,0.2085024895,0.7914975105,20.9,79.1
247,2122,"Kenai Peninsula Borough, Alaska",total_land,30578,25673,4905,0.8395905553,0.1604094447,84,16
248,2130,"Ketchikan Gateway Borough, Alaska",total_land,6166,1484,4682,0.2406746675,0.7593253325,24.1,75.9
249,2220,"Sitka City and Borough, Alaska",total_land,4102,888,3214,0.216479766,0.783520234,21.6,78.4
250,2164,"Lake and Peninsula Borough, Alaska",total_land,1502,1502,0,1,0,100,0
251,2170,"Matanuska-Susitna Borough, Alaska",total_land,41329,24839,16490,0.6010065571,0.3989934429,60.1,39.9
252,2180,"Nome Census Area, Alaska",total_land,4008,2644,1364,0.6596806387,0.3403193613,66,34
253,2185,"North Slope Borough, Alaska",total_land,2500,1130,1370,0.452,0.548,45.2,54.8
254,2188,"Northwest Arctic Borough, Alaska",total_land,2707,1598,1109,0.590321389,0.409678611,59,41
255,2195,"Petersburg Census Area, Alaska",total_land,1994,1994,0,1,0,100,0
256,2198,"Prince of Wales-Hyder Census Area, Alaska",total_land,2992,2992,0,1,0,100,0
257,2275,"Wrangell City and Borough, Alaska",total_land,1428,1428,0,1,0,100,0
258,2230,"Skagway Municipality, Alaska",total_land,636,636,0,1,0,100,0
259,2240,"Southeast Fairbanks Census Area, Alaska",total_land,3915,3915,0,1,0,100,0
260,2261,"Valdez-Cordova Census Area, Alaska",total_land,6102,6102,0,1,0,100,0
261,2282,"Yakutat City and Borough, Alaska",total_land,450,450,0,1,0,100,0
262,2270,"Wade Hampton Census Area, Alaska",total_land,2183,2183,0,1,0,100,0
263,4009,"Graham County, Arizona",total_land,12980,5233,7747,0.4031587057,0.5968412943,40.3,59.7
264,2290,"Yukon-Koyukuk Census Area, Alaska",total_land,4038,4038,0,1,0,100,0
265,4001,"Apache County, Arizona",total_land,32514,25437,7077,0.7823399151,0.2176600849,78.2,21.8
266,4003,"Cochise County, Arizona",total_land,59041,22851,36190,0.3870361274,0.6129638726,38.7,61.3
267,4007,"Gila County, Arizona",total_land,32698,17376,15322,0.5314086488,0.4685913512,53.1,46.9
268,4005,"Coconino County, Arizona",total_land,63321,26964,36357,0.4258302933,0.5741697067,42.6,57.4
269,4023,"Santa Cruz County, Arizona",total_land,18010,6446,11564,0.357912271,0.642087729,35.8,64.2
270,4011,"Greenlee County, Arizona",total_land,4372,2146,2226,0.4908508692,0.5091491308,49.1,50.9
271,4012,"La Paz County, Arizona",total_land,16049,10267,5782,0.639728332,0.360271668,64,36
272,4013,"Maricopa County, Arizona",total_land,1639279,39223,1600056,0.02392698253,0.9760730175,2.4,97.6
273,4015,"Mohave County, Arizona",total_land,110911,28296,82615,0.2551234774,0.7448765226,25.5,74.5
274,4017,"Navajo County, Arizona",total_land,56938,32236,24702,0.5661596825,0.4338403175,56.6,43.4
275,4019,"Pima County, Arizona",total_land,440909,33543,407366,0.0760769229,0.9239230771,7.6,92.4
276,4021,"Pinal County, Arizona",total_land,159222,30511,128711,0.1916255291,0.8083744709,19.2,80.8
277,5015,"Carroll County, Arkansas",total_land,13559,10515,3044,0.7754996681,0.2245003319,77.5,22.5
278,4025,"Yavapai County, Arizona",total_land,110432,39178,71254,0.3547703564,0.6452296436,35.5,64.5
279,4027,"Yuma County, Arizona",total_land,87850,9315,78535,0.1060330108,0.8939669892,10.6,89.4
280,5001,"Arkansas County, Arkansas",total_land,9436,3665,5771,0.3884061043,0.6115938957,38.8,61.2
281,5011,"Bradley County, Arkansas",total_land,5860,3092,2768,0.5276450512,0.4723549488,52.8,47.2
282,5009,"Boone County, Arkansas",total_land,16827,10340,6487,0.6144886195,0.3855113805,61.4,38.6
283,5003,"Ashley County, Arkansas",total_land,10137,5281,4856,0.5209628095,0.4790371905,52.1,47.9
284,5005,"Baxter County, Arkansas",total_land,22580,15321,7259,0.6785208149,0.3214791851,67.9,32.1
285,5007,"Benton County, Arkansas",total_land,93084,24735,68349,0.2657277298,0.7342722702,26.6,73.4
286,5013,"Calhoun County, Arkansas",total_land,2897,2897,0,1,0,100,0
287,5017,"Chicot County, Arkansas",total_land,5421,3078,2343,0.5677919203,0.4322080797,56.8,43.2
